TeamID,PlayerID,GameID,FTM,FTA,FGM,FGA,FGM3,FGA3,TOV,STL,DREB,OREB,BLK,AST,PF,PTS,REB,DNP
1,1,1,0,0,2,6,0,1,1,6,2,1,0,1,1,4,3,0
1,2,1,2,2,3,9,1,2,0,5,2,1,1,1,2,11,3,0
1,3,1,2,3,2,4,0,0,1,2,4,4,0,2,0,6,8,0
1,4,1,0,2,0,7,0,0,1,7,4,2,0,2,0,0,6,0
1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,6,1,3,6,2,10,0,1,3,1,2,1,0,0,0,7,3,0
1,7,1,0,0,1,9,0,2,1,1,1,2,0,0,0,2,3,0
1,8,1,1,4,3,10,0,0,1,1,1,5,0,0,0,7,6,0
1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,10,1,0,0,0,8,0,0,1,0,1,5,1,0,3,0,6,0
1,1,2,0,0,3,6,0,1,1,1,1,0,1,1,2,6,1,0
1,2,2,0,0,1,6,0,2,0,3,1,0,0,1,0,2,1,0
1,3,2,0,0,1,2,1,1,1,2,0,0,1,0,0,5,0,0
1,4,2,0,0,3,4,0,0,4,1,4,7,0,0,0,6,11,0
1,5,2,1,2,0,7,0,5,0,3,0,6,0,1,0,1,6,0
1,6,2,1,1,2,5,0,1,1,1,0,2,0,0,0,5,2,0
1,7,2,1,2,2,7,0,0,0,0,0,1,0,0,0,5,1,0
1,8,2,0,0,1,2,0,0,2,1,0,3,0,0,0,2,3,0
